Obs        k       Scalename
FERJ       0.605   1    Javier Ruiz Fernandez
FLET       0.69    1    Tom Fleming
FLF        1.692   1    Fredirico Luiz Funari
FTAA       0.786   1    Tadeusz Figiel
FUJK       0.957   1    K. Fujimori
HALB       0.84    1    Brian Halls
HAYK       1.123   1    Kim Hay
HOWR       1.004   1    Rodney Howe
JASK       0.908   1    Krystyna Wirkus
JDAC       1.205   1    David Jackson
JGE        1.018   1    Gerardo Jimenez Lopez
JJMA       1.021   1    Jessica M.Johnson
KAND       0.616   1    Kandilli Observatory
KAPJ       1.042   1    John Kaplan
KNJS       0.694   1    James & Shirley Knight
KROL       1.077   1    Larry Krozel
LEVM       0.996   1    Monty Leventhal
LKR        1.002   1    Kristine Larsen
LRRA       0.931   1    Robert Little
MARE       0.764   1    Enrico Mariani
MCE        0.725   1    Etsuiku Mochizuki
MILJ       0.85    1    Jay Miller
MJAF       0.495   1    Juan Antonio Moreno Quesada
MJHA       1.304   1    John McCammon
MUDG       0.964   1    George Mudry
MWU        0.747   1    Walter Maluf
OATS       1.063   1    Susan Oatney
OBSO       0.599   1    IPS Observatory
ONJ        0.993   1    John O'Neill
RLM        1.38    1    Mat Raymonde
SCGL       1.248   1    Gerd-Lutz Schott
SDOH       0.438   1    Solar Dynamics Obs - HMI
SIMC       0.897   1    Clyde Simpson
SONA       0.772   1    Andries Son
STAB       0.937   1    Brian Gordon-States
SUZM       0.568   1    Miyoshi Suzuki
TESD       0.723   1    David Teske
URBP       0.807   1    Piotr Urbanski
VARG       0.914   1    A. Gonzalo Vargas
VIDD       1.057   1    Dan Vidican
WILW       0.718   1    William M. Wilson
