JD,YEAR,MONTH,DAY,OBS,SEE,g,s,W
2458141," 2018",01,22,BSAB,E,0,0,0
2458142," 2018",01,23,BSAB,E,0,0,0
2458143," 2018",01,24,BSAB,E,0,0,0
2458144," 2018",01,25,BSAB,E,0,0,0
2458145," 2018",01,26,BSAB,E,0,0,0
2458146," 2018",01,27,BSAB,E,0,0,0
2458147," 2018",01,28,BSAB,E,0,0,0
2458148," 2018",01,29,BSAB,F,0,0,0
2458149," 2018",01,30,BSAB,G,0,0,0
2458150," 2018",01,31,BSAB,E,0,0,0
2458120," 2018",01,1,DIVA,F,0,0,0
2458126," 2018",01,7,DIVA,P,0,0,0
2458133," 2018",01,14,DIVA,G,1,3,13
2458138," 2018",01,19,DIVA,G,1,1,11
2458141," 2018",01,22,DIVA,F,0,0,0
2458149," 2018",01,30,DIVA,G,1,4,14
